,A,IndicesInteractionProtein,KnownProteins,MaxNumInteractionProtein,N,NumInteractionProtein,ProteinLabel,ProteinLabelPairs
455,0,,-1,,,24,['YBR142W'],
456,0,,1,,,18,['YBR154C'],
457,0,,1,,,8,['YML010W'],
458,0,,1,,,3,['YMR025W'],
459,0,,1,,,3,['YOL117W'],
460,0,,1,,,7,['YBR193C'],
461,0,,-1,,,8,['YBL035C'],
462,0,,-1,,,9,['YCR072C'],
463,0,,1,,,22,['YGL195W'],
464,0,,1,,,25,['YML085C'],
465,0,,1,,,16,['YOR224C'],
466,0,,-1,,,26,['YPL235W'],
467,0,,1,,,30,['YLR180W'],
468,0,,-1,,,32,['YKL029C'],
469,0,,-1,,,6,['YFL007W'],
470,0,,1,,,5,['YML012W'],
471,0,,1,,,4,['YGL200C'],
472,0,,1,,,9,['YPL151C'],
473,1,,1,,,9,['YOR117W'],
474,0,,1,,,19,['YGL173C'],
475,0,,1,,,3,['YPL101W'],
476,0,,1,,,23,['YPR010C'],
477,0,,1,,,4,['YDL175C'],
478,0,,1,,,39,['YDL055C'],
479,0,,1,,,6,['YHR023W'],
480,0,,1,,,26,['YNL132W'],
481,0,,1,,,21,['YGL120C'],
482,0,,1,,,10,['YLR424W'],
483,0,,1,,,3,['YDR318W'],
484,0,,1,,,3,['YDR254W'],
485,0,,-1,,,4,['YAR002W'],
486,0,,1,,,14,['YLR147C'],
487,0,,1,,,24,['YLL045C'],
488,0,,-1,,,3,['YPR056W'],
489,0,,1,,,5,['YMR146C'],
490,0,,1,,,5,['YGL244W'],
491,0,,1,,,15,['YBL004W'],
492,0,,1,,,14,['YHR099W'],
493,0,,1,,,6,['YDL188C'],
494,0,,1,,,35,['YBR009C'],
495,0,,1,,,14,['YPL204W'],
496,0,,-1,,,24,['YML124C'],
497,0,,1,,,4,['YDR073W'],
498,0,,1,,,3,['YAL001C'],
499,0,,1,,,3,['YGR047C'],
500,0,,1,,,3,['YDR362C'],
501,0,,-1,,,28,['YHR010W'],
502,0,,1,,,5,['YFL049W'],
503,0,,1,,,15,['YOL139C'],
504,0,,1,,,19,['YGR162W'],
505,0,,-1,,,8,['YNR052C'],
506,0,,1,,,5,['YKL130C'],
507,0,,1,,,6,['YGL115W'],
508,0,,1,,,6,['YDR477W'],
509,0,,1,,,8,['YBL084C'],
510,0,,1,,,3,['YNL099C'],
511,0,,1,,,3,['YCR095C'],
512,0,,1,,,3,['YNL032W'],
513,0,,1,,,3,['YHL029C'],
514,0,,1,,,4,['YBR279W'],
515,0,,1,,,5,['YIL109C'],
516,0,,-1,,,4,['YMR047C'],
517,0,,-1,,,4,['YIL115C'],
518,0,,1,,,25,['YMR242C'],
519,0,,1,,,8,['YMR116C'],
520,0,,1,,,5,['YLR330W'],
